country_code,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
USA,24115,VA,Martinsville,36.6796,-79.8652,S,f,250.310263,T3,f,f,f,f,12.312408491947291,44.2,315.605,L,f,f,f,f,f,80.78802917512596,81.53244604857508,73.85156778705166,f,f,f,f,f,f,f,13658,VS,1142.8176795580112
USA,24126,VA,Newbern,37.0692,-80.6891,S,f,335.428866,T3,f,f,f,f,11.31259015042242,40.8,315.605,M,f,f,f,f,f,81.53160870310091,81.66866541031351,78.6966763748501,f,f,f,f,f,f,f,28188,VS,1135.5265229025658
USA,24143,VA,Radford,37.1226,-80.5629,S,f,328.780137,T3,f,f,f,f,17.680347737831887,19.5,315.605,M,f,f,f,f,f,88.45519328053228,88.99598953252504,10.0,f,f,f,f,f,f,f,16726,VS,1502.8376844494892
USA,24155,VA,Roanoke,37.2884,-80.0671,S,f,303.463122,T3,f,f,f,f,18.64162915959566,42.3,315.605,M,f,f,f,f,f,90.48238200494085,90.77493173839552,85.46417891041477,f,f,f,f,f,f,f,99101,VS,1037.1688828394933
USA,24157,VA,Roanoke,37.2884,-80.0671,S,f,303.463122,T3,f,f,f,f,18.64162915959566,42.3,315.605,M,f,f,f,f,f,90.48238200494085,90.77493173839552,85.46417891041477,f,f,f,f,f,f,f,99101,VS,1037.1688828394933
USA,24177,VA,Vesta,36.7241,-80.3581,S,f,291.512829,T3,f,f,f,f,9.124356144223697,59.0,315.605,L,f,f,f,f,f,77.22419928825623,86.59549228944246,64.19810201660735,f,f,f,f,f,f,f,17512,VS,903.11004784689
USA,24178,VA,Villamont,37.3105,-79.7898,S,f,286.497015,T3,f,f,f,f,16.634284860260053,40.9,315.605,M,f,f,f,f,f,80.4696235557212,81.92322027581066,78.36097651882221,f,f,f,f,f,f,f,55130,VS,1119.3271618875592
USA,24203,VA,Bristol,36.5965,-82.1885,S,f,440.77973,T3,f,f,f,f,15.666521927920105,43.6,315.605,L,f,f,f,f,f,74.44608567208272,82.92466765140325,71.80206794682422,f,f,f,f,f,f,f,160624,VS,1041.7255103350878
USA,24205,VA,Bristol,36.595,-82.1819,S,f,440.167665,T3,f,f,f,f,15.666521927920105,43.6,315.605,L,f,f,f,f,f,74.44608567208272,82.92466765140325,71.80206794682422,f,f,f,f,f,f,f,160624,VS,1041.7255103350878
USA,24209,VA,Bristol,36.5965,-82.1885,S,f,440.77973,T3,f,f,f,f,15.666521927920105,43.6,315.605,L,f,f,f,f,f,74.44608567208272,82.92466765140325,71.80206794682422,f,f,f,f,f,f,f,160624,VS,1041.7255103350878
USA,24212,VA,Abingdon,36.6909,-81.9708,S,f,424.756122,T3,f,f,f,f,23.642973548953243,49.3,315.605,M,f,f,f,f,f,92.30222643297016,88.67835149218381,85.4583135954524,f,f,f,f,f,f,f,160624,VS,988.798764001545
USA,24215,VA,Andover,36.9234,-82.7964,S,f,502.551461,T3,f,f,f,f,9.31943592887799,47.4,315.605,L,f,f,f,f,f,73.36787564766838,73.57512953367875,68.09844559585491,f,f,f,f,f,f,f,21900,VS,860.8119304059651
USA,24218,VA,Ben Hur,36.7435,-83.2234,S,f,534.357865,T3,f,f,f,f,19.806763285024157,43.2,315.605,M,f,f,f,f,f,86.70076726342711,78.26086956521739,69.57161125319693,f,f,f,f,f,f,f,25772,VS,725.531914893617
USA,24402,VA,Staunton,38.1593,-79.0629,S,f,324.031785,T3,f,f,f,f,20.82731404813079,43.6,315.605,M,f,f,f,f,f,84.25374910735539,86.1997143537253,81.37139966674602,f,f,f,f,f,f,f,25948,VS,1137.7902807656242
