#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio,missing_columns
5406,99023,,,47.56473505463622,-117.14467459663967,UNKNOWN,False,,T2,True,False,False,False,53.15487571701721,36.0,315.605,H,False,False,False,False,False,91.73228346456692,91.73228346456692,90.7992125984252,False,False,False,False,False,False,False,549056.0,M,79.7752808988764,state_original;major_city;region;distance_to_state_capital
5407,795,,Playita Cortada,18.051160271434338,-66.4948789211867,UNKNOWN,True,,T3,True,False,False,False,21.166619447854693,42.9,315.605,L,False,False,False,False,False,91.34899242715954,82.84559106661533,78.53555384417918,False,False,False,False,False,False,True,19903.0,VS,88.8313158582252,state_original;region;distance_to_state_capital
5408,901,,San Juan,18.464809232307523,-66.1033752610054,UNKNOWN,False,,T2,True,False,False,False,23.79344587884806,50.5,315.605,L,False,False,False,False,False,80.36001285760206,83.83156541305047,74.48505303760848,False,False,False,False,False,False,False,336160.0,S,84.5399480819152,state_original;region;distance_to_state_capital
5409,85341,,,31.972611743541083,-112.71944279347883,UNKNOWN,False,,T1,True,False,False,False,,59.6,315.605,,False,False,False,False,False,,100.0,45.0,False,False,False,False,False,False,False,1060490.0,L,131.25,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket;internet_penetration_state
5410,88343,,,33.23507454393912,-105.0677225190107,UNKNOWN,False,,T3,True,False,False,False,,19.8,315.605,,False,False,False,False,False,100.0,100.0,85.0,False,False,False,False,False,False,False,64217.0,VS,331.0344827586207,state_original;major_city;region;distance_to_state_capital;literacy_rate;income_bucket
5411,72739,AR,Gravette,36.42714961898344,-94.32799831925745,S,False,262.4751804028106,T2,True,False,False,False,13.450292397660816,44.1,315.605,,False,False,False,False,False,100.0,90.42553191489364,81.64893617021276,False,False,False,False,False,False,False,303632.0,S,113.36405529953916,income_bucket
5412,45741,,,39.066481602209365,-82.25269729846481,UNKNOWN,False,,T3,True,False,False,False,7.980456026058631,37.4,315.605,L,False,False,False,False,False,74.73958333333334,79.6875,70.78645833333334,False,False,False,False,False,False,False,29068.0,VS,116.0919540229885,state_original;major_city;region;distance_to_state_capital
5413,80101,,,39.42502929726936,-103.95394954886372,UNKNOWN,False,,T3,True,False,False,False,15.74074074074074,50.3,315.605,M,False,False,False,False,False,84.86486486486487,88.10810810810811,82.28378378378379,False,False,False,False,False,False,False,5550.0,VS,115.81632653061224,state_original;major_city;region;distance_to_state_capital
5414,88411,,,35.23487722525546,-103.16249005684904,UNKNOWN,False,,T3,True,False,False,False,,57.3,315.605,L,False,False,False,False,False,87.09677419354838,67.74193548387096,71.54838709677419,False,False,False,False,False,False,False,18460.0,VS,100.0,state_original;major_city;region;distance_to_state_capital;literacy_rate
5415,75780,TX,New Summerfield,31.989046456953844,-95.09122175289322,S,False,316.79421587449787,T3,True,False,False,False,5.93607305936073,27.5,315.605,,False,False,False,False,False,100.0,97.2972972972973,84.05405405405406,False,False,False,False,False,False,False,51886.0,VS,100.53763440860214,income_bucket
